dataset,method,num_samples,dev,test,seed
bbh,LESS (KNN-KDE),1000,0.32050827886035416,6.577727257527984,0
bbh,LESS (KNN-KDE),1000,0.3227069302013627,6.7174812825094845,1
bbh,LESS (KNN-KDE),1000,0.32265151756597155,6.58332851120375,2
bbh,LESS (KNN-KDE),2500,0.3128741768039303,6.60159921506055,0
bbh,LESS (KNN-KDE),2500,0.31260325106573694,6.51371557124656,1
bbh,LESS (KNN-KDE),2500,0.3119025589599286,6.422356275768072,2
bbh,LESS (KNN-KDE),5000,0.3091222461037062,6.305228514864302,0
bbh,LESS (KNN-KDE),5000,0.306934347882131,6.2615883296086405,1
bbh,LESS (KNN-KDE),5000,0.3096787148143774,6.376633795179945,2
bbh,LESS (KNN-KDE),10000,0.3101946683485567,6.605858797050991,0
bbh,LESS (KNN-KDE),10000,0.3109090196221699,6.3857325619769485,1
bbh,LESS (KNN-KDE),10000,0.3100382527451456,6.625122465057099,2
bbh,LESS (KNN-Unif.),500,0.3205266636278894,6.302853096091716,0
bbh,LESS (KNN-Unif.),500,0.32356364086822226,6.433192987739353,1
bbh,LESS (KNN-Unif.),500,0.32171961789329845,6.341356669770757,2
bbh,LESS (KNN-Unif.),1000,0.3208519706479561,6.680002059681663,0
bbh,LESS (KNN-Unif.),1000,0.3200557770000564,6.589893009096516,1
bbh,LESS (KNN-Unif.),1000,0.3212037972278065,6.660688248881362,2
bbh,LESS (KNN-Unif.),2500,0.3115931205727436,6.453127272409917,0
bbh,LESS (KNN-Unif.),2500,0.3117862471643789,6.3479937480133515,1
bbh,LESS (KNN-Unif.),2500,0.313268479189755,6.439257676353141,2
bbh,LESS (KNN-Unif.),5000,0.31010987986753014,6.3178784356031565,0
bbh,LESS (KNN-Unif.),5000,0.3102107398947816,6.393353347028754,1
bbh,LESS (KNN-Unif.),5000,0.3085161762105094,6.306666353247422,2
bbh,LESS (KNN-Unif.),10000,0.3082858101683266,6.366954129538838,0
bbh,LESS (KNN-Unif.),10000,0.30925606950013723,6.314658708285671,1
bbh,LESS (KNN-Unif.),10000,0.3098130998788057,6.531950476403574,2
bbh,LESS (RR),500,0.3213246912224057,6.1776787138098745,0
bbh,LESS (RR),500,0.3206937722861767,6.148717712429588,1
bbh,LESS (RR),500,0.32022358955424507,6.146491266563912,2
bbh,LESS (RR),1000,0.31864811526036557,6.521517451284412,0
bbh,LESS (RR),1000,0.3182489502209204,6.332249479576879,1
bbh,LESS (RR),1000,0.32142880453187744,6.42785572491196,2
bbh,LESS (RR),2500,0.31504602624494354,6.318394891843326,0
bbh,LESS (RR),2500,0.3156301494181892,6.414797529649156,1
bbh,LESS (RR),2500,0.3155407875224396,6.4868872726344415,2
bbh,LESS (RR),5000,0.3173684331094041,6.4243606397348,0
bbh,LESS (RR),5000,0.3167298407650288,6.311453808376526,1
bbh,LESS (RR),5000,0.3173645308908121,6.354482643465314,2
bbh,LESS (RR),10000,0.31639529838238234,6.593029042484757,0
bbh,LESS (RR),10000,0.31346180837279486,6.4699660944757404,1
bbh,LESS (RR),10000,0.3153714420342887,6.478425955579241,2
bbh,LESS (UOT),500,0.32418714270547583,6.561701536032118,0
bbh,LESS (UOT),500,0.32259311715577854,6.455866817174978,1
bbh,LESS (UOT),500,0.31773941398218825,6.393556467757359,2
bbh,LESS (UOT),1000,0.31676199107810304,6.6212399348632625,0
bbh,LESS (UOT),1000,0.3175491752723853,6.524716368515798,1
bbh,LESS (UOT),1000,0.3153123675305166,6.586738137216763,2
bbh,LESS (UOT),2500,0.3108942714278345,6.439211200146316,0
bbh,LESS (UOT),2500,0.309737152017561,6.364101210482346,1
bbh,LESS (UOT),2500,0.3108161121238897,6.292536593031873,2
bbh,LESS (UOT),5000,0.3091782360441155,6.357053311834905,0
bbh,LESS (UOT),5000,0.3084670703076286,6.393978898810125,1
bbh,LESS (UOT),5000,0.3074988167686963,6.268943638346415,2
bbh,LESS (UOT),10000,0.3077293630735374,6.095590796742163,0
bbh,LESS (UOT),10000,0.3076316726244526,6.290035469280998,1
bbh,LESS (UOT),10000,0.3068335112184286,6.31738511733499,2
bbh,RDS+ (RR),500,0.337544226076132,6.253341471465973,0
bbh,RDS+ (RR),500,0.33934602776059397,6.17138495742405,1
bbh,RDS+ (RR),500,0.3391645237987424,6.180578045857116,2
bbh,RDS+ (RR),1000,0.3349432883163293,6.140918895242914,0
bbh,RDS+ (RR),1000,0.33484766963455415,6.292080390473479,1
bbh,RDS+ (RR),1000,0.33754887546838064,6.216043371215721,2
bbh,RDS+ (RR),2500,0.34350006056972493,6.429649728771875,0
bbh,RDS+ (RR),2500,0.3419870225551688,6.315938866489989,1
bbh,RDS+ (RR),2500,0.34652553655115176,6.402618823201951,2
bbh,RDS+ (RR),5000,0.34667980252408687,6.484706868390813,0
bbh,RDS+ (RR),5000,0.34633280235676117,6.636716834540522,1
bbh,RDS+ (RR),5000,0.3499495904938674,6.732209631794701,2
bbh,RDS+ (RR),10000,0.3498960039405911,6.719695957222213,0
bbh,RDS+ (RR),10000,0.3501862362946993,6.706468846286758,1
bbh,RDS+ (RR),10000,0.35028730728376056,6.544751431275175,2
bbh,Random,500,0.33221315707505483,5.926383012982671,0
bbh,Random,500,0.3347129086377444,6.003765027454565,1
bbh,Random,500,0.34062084132506526,5.996162589757861,2
bbh,Random,1000,0.3349361727819031,6.0110093219876015,0
bbh,Random,1000,0.33939885104328027,5.839330941763658,1
bbh,Random,1000,0.3401224461418611,6.04356931421618,2
bbh,Random,2500,0.33758931832365047,5.998345531835623,0
bbh,Random,2500,0.33681421970695624,6.070355123706245,1
bbh,Random,2500,0.34099750965833664,6.151930039776871,2
bbh,Random,5000,0.3459978010735394,6.646915381944522,0
bbh,Random,5000,0.3460045261423529,6.753419890013402,1
bbh,Random,5000,0.3471551045407484,6.675817032487249,2
bbh,Random,10000,0.3520969761834468,7.136044374398053,0
bbh,Random,10000,0.35144102118081516,7.243115844603527,1
bbh,Random,10000,0.35056457447784917,7.2173516300485865,2
codex,EMBED (RR),500,0.9347609952092171,0.9779568940803811,0
codex,EMBED (RR),500,0.9306523948907852,0.9750195912815429,1
codex,EMBED (RR),500,0.9296905435621738,0.975679815721673,2
codex,EMBED (RR),1000,1.0017232820391655,1.0413499589304667,0
codex,EMBED (RR),1000,0.9977041929960251,1.0365914549376514,1
codex,EMBED (RR),1000,0.985041081905365,1.0263703075816502,2
codex,EMBED (RR),2500,1.0557785592973232,1.0926687273423414,0
codex,EMBED (RR),2500,1.0337876826524734,1.0723974779248238,1
codex,EMBED (RR),2500,1.0479009076952934,1.0871483145936116,2
codex,EMBED (RR),5000,1.0772177502512932,1.1155338759559232,0
codex,EMBED (RR),5000,1.0770237110555172,1.1175191988413398,1
codex,EMBED (RR),5000,1.0769940800964832,1.1175814396827608,2
codex,EMBED (RR),10000,1.1059309057891369,1.1372016250483088,0
codex,EMBED (RR),10000,1.0841161645948887,1.123703471108063,1
codex,EMBED (RR),10000,1.0947359167039394,1.1300213513140742,2
codex,LESS (DG),500,0.8325395360589027,0.8813876639548186,0
