dataset,method,num_samples,dev,test,seed
bbh,LESS (KNN-KDE),500,0.317443738978954,5.459839150472054,0
bbh,LESS (KNN-KDE),500,0.31851630050826957,5.4152713709576235,1
bbh,LESS (KNN-KDE),500,0.32014765829583747,5.441798577576331,2
bbh,LESS (KNN-KDE),1000,0.3165553080630891,5.822588963802281,0
bbh,LESS (KNN-KDE),1000,0.3151348549642681,5.817693761528005,1
bbh,LESS (KNN-KDE),1000,0.3156107877507622,5.8485029492852805,2
bbh,LESS (KNN-KDE),2500,0.31191637619961926,6.27761035220192,0
bbh,LESS (KNN-KDE),2500,0.3101219716999266,6.236270652958333,1
bbh,LESS (KNN-KDE),2500,0.31222933618190846,6.356456178076127,2
bbh,LESS (KNN-KDE),5000,0.31200574720163404,6.529194440202327,0
bbh,LESS (KNN-KDE),5000,0.3097551292107429,6.668147201482061,1
bbh,LESS (KNN-KDE),5000,0.3102436763820825,6.665795641786912,2
bbh,LESS (KNN-KDE),10000,0.31269064564027904,6.773922559697221,0
bbh,LESS (KNN-KDE),10000,0.31365325306484726,6.76043488817855,1
bbh,LESS (KNN-KDE),10000,0.3130261113430247,6.747476353557076,2
bbh,LESS (KNN-Unif.),500,0.31568787720652275,5.409171153233542,0
bbh,LESS (KNN-Unif.),500,0.3151148039801621,5.42610077779426,1
bbh,LESS (KNN-Unif.),500,0.3154944390702395,5.42669674913888,2
bbh,LESS (KNN-Unif.),1000,0.3155866381194856,5.832055350883164,0
bbh,LESS (KNN-Unif.),1000,0.3140227346692556,5.830707287142086,1
bbh,LESS (KNN-Unif.),1000,0.3153261612686846,5.77041394805564,2
bbh,LESS (KNN-Unif.),2500,0.3104640269353066,6.310656541531911,0
bbh,LESS (KNN-Unif.),2500,0.31000793679260913,6.302835337386266,1
bbh,LESS (KNN-Unif.),2500,0.310201179696086,6.2001624432069296,2
bbh,LESS (KNN-Unif.),5000,0.3117363646994402,6.5763532843133525,0
bbh,LESS (KNN-Unif.),5000,0.3119932743318287,6.503349585506411,1
bbh,LESS (KNN-Unif.),5000,0.3105983412652104,6.572918374927303,2
bbh,LESS (KNN-Unif.),10000,0.3138681550360756,6.739932533142443,0
bbh,LESS (KNN-Unif.),10000,0.31297234947114816,6.784310961013162,1
