dataset,method,num_samples,seed,true_metric
bbh,LESS (KNN-KDE),2500,0,66.46391177145823
bbh,LESS (KNN-KDE),2500,1,65.93686392973302
bbh,LESS (KNN-KDE),2500,2,66.27204847016705
bbh,LESS (KNN-KDE),5000,0,66.55626208698847
bbh,LESS (KNN-KDE),5000,1,66.43654949541286
bbh,LESS (KNN-KDE),5000,2,66.79662028451789
bbh,LESS (KNN-KDE),10000,0,66.90962976863983
bbh,LESS (KNN-KDE),10000,1,66.59032225150884
bbh,LESS (KNN-KDE),10000,2,67.46058901966515
codex,Random,500,0,85.8108108108108
codex,Random,500,1,87.16216216216216
codex,Random,500,2,87.16216216216216
codex,Random,1000,0,84.45945945945947
codex,Random,1000,1,87.16216216216216
codex,Random,1000,2,84.45945945945947
codex,Random,2500,0,85.8108108108108
codex,Random,2500,1,89.86486486486487
codex,Random,2500,2,85.8108108108108
codex,Random,5000,0,87.16216216216216
codex,Random,5000,1,85.13513513513513
codex,Random,5000,2,87.83783783783784
codex,Random,10000,0,87.16216216216216
codex,Random,10000,1,88.51351351351352
codex,Random,10000,2,85.8108108108108
codex,EMBED (RR),500,0,87.83783783783784
codex,EMBED (RR),500,1,85.8108108108108
codex,EMBED (RR),500,2,85.8108108108108
codex,EMBED (RR),1000,0,85.8108108108108
codex,EMBED (RR),1000,1,85.8108108108108
codex,EMBED (RR),1000,2,86.48648648648648
codex,EMBED (RR),2500,0,86.48648648648648
codex,EMBED (RR),2500,1,85.8108108108108
codex,EMBED (RR),2500,2,83.1081081081081
codex,EMBED (RR),5000,0,88.51351351351352
codex,EMBED (RR),5000,1,87.83783783783784
codex,EMBED (RR),5000,2,87.83783783783784
codex,EMBED (RR),10000,0,86.48648648648648
codex,EMBED (RR),10000,1,87.83783783783784
codex,EMBED (RR),10000,2,85.8108108108108
codex,RDS+ (RR),500,0,88.51351351351352
codex,RDS+ (RR),500,1,87.83783783783784
codex,RDS+ (RR),500,2,90.54054054054053
codex,RDS+ (RR),1000,0,88.51351351351352
codex,RDS+ (RR),1000,1,83.78378378378379
codex,RDS+ (RR),1000,2,86.48648648648648
codex,RDS+ (RR),2500,0,89.1891891891892
codex,RDS+ (RR),2500,1,86.48648648648648
codex,RDS+ (RR),2500,2,87.83783783783784
codex,RDS+ (RR),5000,0,87.16216216216216
codex,RDS+ (RR),5000,1,86.48648648648648
codex,RDS+ (RR),5000,2,84.45945945945947
codex,RDS+ (RR),10000,0,87.16216216216216
codex,RDS+ (RR),10000,1,90.54054054054053
codex,RDS+ (RR),10000,2,89.1891891891892
codex,LESS (DG),500,0,83.1081081081081
codex,LESS (DG),500,1,79.72972972972973
codex,LESS (DG),500,2,81.75675675675676
codex,LESS (DG),1000,0,85.8108108108108
codex,LESS (DG),1000,1,83.78378378378379
codex,LESS (DG),1000,2,81.75675675675676
codex,LESS (DG),2500,0,87.16216216216216
codex,LESS (DG),2500,1,88.51351351351352
codex,LESS (DG),2500,2,84.45945945945947
codex,LESS (DG),5000,0,85.13513513513513
codex,LESS (DG),5000,1,85.8108108108108
codex,LESS (DG),5000,2,86.48648648648648
codex,LESS (DG),10000,0,81.75675675675676
codex,LESS (DG),10000,1,82.43243243243244
codex,LESS (DG),10000,2,85.8108108108108
codex,LESS (UOT),500,0,81.75675675675676
codex,LESS (UOT),500,1,83.78378378378379
codex,LESS (UOT),500,2,86.48648648648648
codex,LESS (UOT),1000,0,85.8108108108108
codex,LESS (UOT),1000,1,84.45945945945947
codex,LESS (UOT),1000,2,83.78378378378379
codex,LESS (UOT),2500,0,87.16216216216216
codex,LESS (UOT),2500,1,85.8108108108108
codex,LESS (UOT),2500,2,84.45945945945947
codex,LESS (UOT),5000,0,85.8108108108108
codex,LESS (UOT),5000,1,85.13513513513513
codex,LESS (UOT),5000,2,83.78378378378379
codex,LESS (UOT),10000,0,87.83783783783784
codex,LESS (UOT),10000,1,87.83783783783784
codex,LESS (UOT),10000,2,84.45945945945947
codex,LESS (RR),500,0,79.72972972972973
codex,LESS (RR),500,1,81.75675675675676
codex,LESS (RR),500,2,83.78378378378379
codex,LESS (RR),1000,0,83.1081081081081
codex,LESS (RR),1000,1,82.43243243243244
codex,LESS (RR),1000,2,83.1081081081081
codex,LESS (RR),2500,0,85.8108108108108
codex,LESS (RR),2500,1,83.1081081081081
codex,LESS (RR),2500,2,82.43243243243244
codex,LESS (RR),5000,0,86.48648648648648
codex,LESS (RR),5000,1,83.1081081081081
codex,LESS (RR),5000,2,84.45945945945947
codex,LESS (RR),10000,0,87.83783783783784
codex,LESS (RR),10000,1,84.45945945945947
