dataset,method,num_samples,dev,test,seed
bbh,LESS (KNN-KDE),500,0.35455381879468023,8.45266080513251,2
bbh,LESS (KNN-KDE),1000,0.35696192306500896,8.61403736438716,0
bbh,LESS (KNN-KDE),1000,0.35264306345287666,8.661198448345713,1
bbh,LESS (KNN-KDE),1000,0.3549379303039592,8.896301685125117,2
bbh,LESS (KNN-KDE),2500,0.35291908603207567,8.241719237625864,0
bbh,LESS (KNN-KDE),2500,0.35406407833467296,8.304530108822709,1
bbh,LESS (KNN-KDE),2500,0.3550863610005673,8.354979810929303,2
bbh,LESS (KNN-KDE),5000,0.3565047804128241,7.955353125662064,0
bbh,LESS (KNN-KDE),5000,0.35604556314187286,7.945342742560042,1
bbh,LESS (KNN-KDE),5000,0.35503252540473584,7.879056764123187,2
bbh,LESS (KNN-KDE),10000,0.3573865307793941,7.840439477460833,0
bbh,LESS (KNN-KDE),10000,0.35601877816665317,7.853861517079359,1
bbh,LESS (KNN-KDE),10000,0.35866337757051725,7.82214919860014,2
bbh,LESS (KNN-Unif.),500,0.3589954092454763,8.541358247072058,0
bbh,LESS (KNN-Unif.),500,0.35922176735820593,8.622507475054478,1
bbh,LESS (KNN-Unif.),500,0.35733498895057925,8.670921841784201,2
bbh,LESS (KNN-Unif.),1000,0.353413502605241,8.730287389086241,0
bbh,LESS (KNN-Unif.),1000,0.3562866222619275,8.949519843654944,1
bbh,LESS (KNN-Unif.),1000,0.35382993965421194,8.756390967039152,2
bbh,LESS (KNN-Unif.),2500,0.35179511264518454,8.291172966523538,0
bbh,LESS (KNN-Unif.),2500,0.35655070643550085,8.33259436979288,1
bbh,LESS (KNN-Unif.),2500,0.35594799728305254,8.419198970936755,2
bbh,LESS (KNN-Unif.),5000,0.35526569983289563,7.794934210836238,0
bbh,LESS (KNN-Unif.),5000,0.359266780960707,8.114135806277828,1
bbh,LESS (KNN-Unif.),5000,0.3570761584021427,8.078521166102638,2
bbh,LESS (KNN-Unif.),10000,0.3552960227761004,7.763724693531009,0
bbh,LESS (KNN-Unif.),10000,0.35225509396857685,7.5930345291788175,1
bbh,LESS (KNN-Unif.),10000,0.3583148787327019,7.90457577608163,2
bbh,LESS (RR),500,0.3548419105325952,8.60476040940848,0
bbh,LESS (RR),500,0.3550013204415639,8.57762392722339,1
bbh,LESS (RR),500,0.35622619676553174,8.538539694304328,2
bbh,LESS (RR),1000,0.3548225835425618,8.770664195076256,0
bbh,LESS (RR),1000,0.35270084578681876,8.526710359745541,1
bbh,LESS (RR),1000,0.3569392507182963,8.578447375790422,2
bbh,LESS (RR),2500,0.35146485006919614,8.038516168073656,0
bbh,LESS (RR),2500,0.35268043478329975,7.95770681958066,1
bbh,LESS (RR),2500,0.3537980134104505,7.985320870611932,2
bbh,LESS (RR),5000,0.35495375469326973,7.949812382610689,0
bbh,LESS (RR),5000,0.35430287040862035,7.9443877762848105,1
bbh,LESS (RR),5000,0.35139294037664376,8.0054719543479,2
bbh,LESS (RR),10000,0.35530344061093566,7.9208666593902874,0
bbh,LESS (RR),10000,0.3535562163149869,7.922050805094421,1
bbh,LESS (RR),10000,0.35490119521632607,7.772698940686634,2
bbh,LESS (UOT),500,0.3610536498420032,8.637534814777325,0
bbh,LESS (UOT),500,0.3617884629854449,8.743443119774911,1
bbh,LESS (UOT),500,0.35997569689780107,8.647774105622387,2
bbh,LESS (UOT),1000,0.36011153367566473,8.78814639899244,0
bbh,LESS (UOT),1000,0.3567673291689084,8.75304012602695,1
bbh,LESS (UOT),1000,0.35588449989388016,8.840334442908306,2
bbh,LESS (UOT),2500,0.35535553083927546,8.450973834013393,0
bbh,LESS (UOT),2500,0.35717699000680886,8.44989553678422,1
bbh,LESS (UOT),2500,0.35864398081177545,8.530711342974973,2
bbh,LESS (UOT),5000,0.3547706655514093,7.906847066766489,0
bbh,LESS (UOT),5000,0.35616710671672114,8.130957970145367,1
bbh,LESS (UOT),5000,0.35523005961268034,8.119968007217262,2
bbh,LESS (UOT),10000,0.3577816627551744,7.832788483738771,0
bbh,LESS (UOT),10000,0.35776219448005714,7.935936521035591,1
bbh,LESS (UOT),10000,0.35804258066195027,7.815944301397309,2
bbh,RDS+ (RR),500,0.3683479019429213,7.907623398791002,0
bbh,RDS+ (RR),500,0.3686066578475781,7.898702266816444,1
bbh,RDS+ (RR),500,0.37052477500688885,7.92876525013847,2
bbh,RDS+ (RR),1000,0.3712696210929641,8.092679812755842,0
bbh,RDS+ (RR),1000,0.37059884196446263,7.9865841820774275,1
bbh,RDS+ (RR),1000,0.36910842699401175,8.205190430275582,2
bbh,RDS+ (RR),2500,0.37752857951470364,7.77393624514703,0
bbh,RDS+ (RR),2500,0.3765738159418106,8.021022668752302,1
bbh,RDS+ (RR),2500,0.3755848563655659,7.793856338968732,2
bbh,RDS+ (RR),5000,0.3772540446140884,7.974006475336338,0
bbh,RDS+ (RR),5000,0.37673092955424464,7.933390623650561,1
bbh,RDS+ (RR),5000,0.37919331240801163,7.990694361922379,2
bbh,RDS+ (RR),10000,0.3783391087235492,8.03687730322161,0
bbh,RDS+ (RR),10000,0.37957952005995643,8.103087705257503,1
bbh,RDS+ (RR),10000,0.3797898361068449,8.072790720444123,2
bbh,Random,500,0.4028227440552947,6.644846175823173,0
bbh,Random,500,0.4024932598810137,6.638299474022645,1
bbh,Random,500,0.40771707662461715,6.383324885502002,2
bbh,Random,1000,0.4008943146945518,6.501817215593926,0
bbh,Random,1000,0.4002483810907529,6.529687209844113,1
bbh,Random,1000,0.4032776194774074,6.505322373896549,2
bbh,Random,2500,0.40274890962942145,6.920221259765701,0
bbh,Random,2500,0.3960438229051637,7.0165905394398145,1
bbh,Random,2500,0.4070154625324555,7.129769162741917,2
bbh,Random,5000,0.40031558164843806,7.012518197600147,0
bbh,Random,5000,0.3967014984400184,7.2871668370358496,1
bbh,Random,5000,0.3941778857950811,7.21338316562483,2
bbh,Random,10000,0.3886463047913563,7.503171285255918,0
bbh,Random,10000,0.38619778365080737,7.4305570698373975,1
bbh,Random,10000,0.38789396802032433,7.454421699697055,2
codex,EMBED (RR),500,0.797328395769,0.9607782380000965,0
codex,EMBED (RR),500,0.7921579666435719,0.9538755814570028,1
codex,EMBED (RR),500,0.7919507399201393,0.9558158581321304,2
codex,EMBED (RR),1000,0.879795353859663,1.017942246150326,0
codex,EMBED (RR),1000,0.8623116407543421,1.0082030348681115,1
codex,EMBED (RR),1000,0.8613550215959549,1.003029827833981,2
codex,EMBED (RR),2500,0.8636677116155624,1.0102738116842669,0
codex,EMBED (RR),2500,0.8732713982462883,1.018600496589332,1
codex,EMBED (RR),2500,0.8756440132856369,1.0139489051055264,2
codex,EMBED (RR),5000,0.8982588090002537,1.0344639655101944,0
codex,EMBED (RR),5000,0.8634383156895638,1.0082920984037824,1
codex,EMBED (RR),5000,0.8766226470470428,1.0147326018761944,2
codex,EMBED (RR),10000,0.8976049497723579,1.008545871219925,0
codex,EMBED (RR),10000,0.8565009795129299,0.9809336009863261,1
codex,EMBED (RR),10000,0.877141959965229,0.9967309687588666,2
codex,LESS (DG),500,0.7917283680289984,0.9153263295018995,0
codex,LESS (DG),500,0.8149650897830725,0.9340715748635499,1
codex,LESS (DG),500,0.8201669063419104,0.9441677006716663,2
