dataset,method,num_samples,dev,test,seed
bbh,LESS (KNN-KDE),2500,0.3324413874451025,8.622454079829534,0
bbh,LESS (KNN-KDE),2500,0.3324472044169167,8.66680654516749,1
bbh,LESS (KNN-KDE),2500,0.33350980364614063,8.570233402457623,2
bbh,LESS (KNN-KDE),5000,0.3389727068995988,8.873026973218746,0
bbh,LESS (KNN-KDE),5000,0.33926847774857355,8.66600387608322,1
bbh,LESS (KNN-KDE),5000,0.3406868509856271,8.960204760502092,2
bbh,LESS (KNN-KDE),10000,0.3430158777369393,8.778827511592315,0
bbh,LESS (KNN-KDE),10000,0.34239993055845486,8.852997735154151,1
bbh,LESS (KNN-KDE),10000,0.34214496998875227,8.808601064655276,2
bbh,LESS (KNN-Unif.),500,0.3274651747426869,7.597402035924554,0
bbh,LESS (KNN-Unif.),500,0.32733753286762,7.469731319263736,1
bbh,LESS (KNN-Unif.),500,0.3267862092197677,7.62363723489367,2
bbh,LESS (KNN-Unif.),1000,0.32751140876868623,8.406531988631524,0
bbh,LESS (KNN-Unif.),1000,0.32552167497299334,8.307374713012946,1
bbh,LESS (KNN-Unif.),1000,0.32797581477113713,8.286899279658282,2
bbh,LESS (KNN-Unif.),2500,0.3340561772570198,8.675909356054046,0
bbh,LESS (KNN-Unif.),2500,0.33433892821640143,8.618959586881417,1
bbh,LESS (KNN-Unif.),2500,0.3343200794892547,8.603230997853666,2
bbh,LESS (KNN-Unif.),5000,0.33957094032271407,8.781967925780052,0
bbh,LESS (KNN-Unif.),5000,0.3400796358876022,8.903596170119583,1
bbh,LESS (KNN-Unif.),5000,0.3387826527526349,8.995475135023849,2
bbh,LESS (KNN-Unif.),10000,0.34236776056113066,8.963199409008979,0
bbh,LESS (KNN-Unif.),10000,0.343787767039037,8.781403376162281,1
bbh,LESS (KNN-Unif.),10000,0.34106033815093983,8.942561136643617,2
bbh,LESS (RR),500,0.32865188073044943,7.481185316014191,0
bbh,LESS (RR),500,0.3298969252241982,7.616028282082478,1
bbh,LESS (RR),500,0.3280813686181734,7.627157589510791,2
bbh,LESS (RR),1000,0.3300642633787644,8.041478629449859,0
bbh,LESS (RR),1000,0.3300602378116714,7.944264281127443,1
bbh,LESS (RR),1000,0.3306833519887777,8.072086434259226,2
bbh,LESS (RR),2500,0.3356374088720775,8.44423715513691,0
bbh,LESS (RR),2500,0.33678565022570117,8.698434203437461,1
bbh,LESS (RR),2500,0.3376329448763971,8.581568884073251,2
bbh,LESS (RR),5000,0.3412095279789265,8.84221879408997,0
