dataset,method,num_samples,seed,true_metric
bbh,LESS (KNN-KDE),2500,0,60.005711391759256
bbh,LESS (KNN-KDE),2500,1,59.26520017633562
bbh,LESS (KNN-KDE),2500,2,59.51499412880141
bbh,LESS (KNN-KDE),5000,0,60.2240047351257
bbh,LESS (KNN-KDE),5000,1,60.076947268164936
bbh,LESS (KNN-KDE),5000,2,60.16457862706901
bbh,LESS (KNN-KDE),10000,0,59.845929323139615
bbh,LESS (KNN-KDE),10000,1,59.97171390375855
bbh,LESS (KNN-KDE),10000,2,60.5550375902122
codex,Random,500,0,77.7027027027027
codex,Random,500,1,81.08108108108108
codex,Random,500,2,75.0
codex,Random,1000,0,77.02702702702703
codex,Random,1000,1,79.05405405405406
codex,Random,1000,2,81.08108108108108
codex,Random,2500,0,76.35135135135135
codex,Random,2500,1,79.05405405405406
codex,Random,2500,2,79.72972972972973
codex,Random,5000,0,75.67567567567568
codex,Random,5000,1,77.7027027027027
codex,Random,5000,2,73.64864864864865
codex,Random,10000,0,77.02702702702703
codex,Random,10000,1,78.37837837837837
codex,Random,10000,2,81.08108108108108
codex,EMBED (RR),500,0,81.75675675675676
codex,EMBED (RR),500,1,79.72972972972973
codex,EMBED (RR),500,2,79.05405405405406
codex,EMBED (RR),1000,0,75.0
codex,EMBED (RR),1000,1,77.02702702702703
codex,EMBED (RR),1000,2,79.72972972972973
codex,EMBED (RR),2500,0,78.37837837837837
codex,EMBED (RR),2500,1,79.05405405405406
codex,EMBED (RR),2500,2,79.05405405405406
codex,EMBED (RR),5000,0,77.7027027027027
codex,EMBED (RR),5000,1,77.7027027027027
codex,EMBED (RR),5000,2,79.72972972972973
codex,EMBED (RR),10000,0,80.4054054054054
codex,EMBED (RR),10000,1,80.4054054054054
codex,EMBED (RR),10000,2,81.08108108108108
codex,RDS+ (RR),500,0,82.43243243243244
codex,RDS+ (RR),500,1,83.1081081081081
codex,RDS+ (RR),500,2,78.37837837837837
codex,RDS+ (RR),1000,0,76.35135135135135
codex,RDS+ (RR),1000,1,81.75675675675676
codex,RDS+ (RR),1000,2,81.08108108108108
codex,RDS+ (RR),2500,0,79.05405405405406
codex,RDS+ (RR),2500,1,79.05405405405406
codex,RDS+ (RR),2500,2,75.67567567567568
codex,RDS+ (RR),5000,0,76.35135135135135
codex,RDS+ (RR),5000,1,79.05405405405406
codex,RDS+ (RR),5000,2,81.08108108108108
codex,RDS+ (RR),10000,0,78.37837837837837
codex,RDS+ (RR),10000,1,82.43243243243244
codex,RDS+ (RR),10000,2,79.72972972972973
codex,LESS (DG),500,0,72.97297297297297
codex,LESS (DG),500,1,72.2972972972973
codex,LESS (DG),500,2,72.2972972972973
codex,LESS (DG),1000,0,75.0
codex,LESS (DG),1000,1,75.0
codex,LESS (DG),1000,2,75.67567567567568
codex,LESS (DG),2500,0,79.05405405405406
codex,LESS (DG),2500,1,79.05405405405406
codex,LESS (DG),2500,2,81.08108108108108
codex,LESS (DG),5000,0,77.7027027027027
codex,LESS (DG),5000,1,79.05405405405406
codex,LESS (DG),5000,2,77.7027027027027
codex,LESS (DG),10000,0,78.37837837837837
codex,LESS (DG),10000,1,75.67567567567568
codex,LESS (DG),10000,2,77.7027027027027
codex,LESS (UOT),500,0,71.62162162162163
codex,LESS (UOT),500,1,72.97297297297297
codex,LESS (UOT),500,2,72.97297297297297
codex,LESS (UOT),1000,0,77.02702702702703
codex,LESS (UOT),1000,1,74.32432432432432
codex,LESS (UOT),1000,2,73.64864864864865
codex,LESS (UOT),2500,0,75.0
codex,LESS (UOT),2500,1,77.7027027027027
codex,LESS (UOT),2500,2,76.35135135135135
codex,LESS (UOT),5000,0,75.0
codex,LESS (UOT),5000,1,75.67567567567568
codex,LESS (UOT),5000,2,75.67567567567568
codex,LESS (UOT),10000,0,83.1081081081081
codex,LESS (UOT),10000,1,78.37837837837837
codex,LESS (UOT),10000,2,79.72972972972973
codex,LESS (RR),500,0,73.64864864864865
codex,LESS (RR),500,1,70.94594594594594
codex,LESS (RR),500,2,70.94594594594594
codex,LESS (RR),1000,0,72.97297297297297
codex,LESS (RR),1000,1,74.32432432432432
codex,LESS (RR),1000,2,77.02702702702703
codex,LESS (RR),2500,0,79.05405405405406
codex,LESS (RR),2500,1,76.35135135135135
codex,LESS (RR),2500,2,75.0
codex,LESS (RR),5000,0,75.67567567567568
codex,LESS (RR),5000,1,76.35135135135135
codex,LESS (RR),5000,2,76.35135135135135
codex,LESS (RR),10000,0,77.7027027027027
codex,LESS (RR),10000,1,79.05405405405406
codex,LESS (RR),10000,2,80.4054054054054
codex,LESS (KNN-Unif.),500,0,72.2972972972973
codex,LESS (KNN-Unif.),500,1,72.97297297297297
codex,LESS (KNN-Unif.),500,2,71.62162162162163
codex,LESS (KNN-Unif.),1000,0,75.67567567567568
codex,LESS (KNN-Unif.),1000,1,75.0
codex,LESS (KNN-Unif.),1000,2,75.0
codex,LESS (KNN-Unif.),2500,0,76.35135135135135
